piece,big5,race,religion,count,demvote,issues,partisan_score,ticket_splitters,percent,support,repcomp,demcomp
Agnostic White Straight College degree Urban Unmarried women,Secular,White,Agnostic,375.1826205,89.19648309,0.847278767,88.38367892,2.614613214,0.182446392,Democratic,0.021193559,0.161252833
Atheist White Straight College degree Rural Married men,Secular,White,Atheist,374.7936052,85.02537706,0.79210761,82.75730683,5.087306773,0.182257219,Democratic,0.031426053,0.150831166
Other White Straight No degree Suburban Married men,Mosaic middle,White,Other,374.1029131,30.22808199,0.454756784,32.45879291,4.302448529,0.181921345,Mixed,0.122871872,0.059049473
Evangelical Hispanic Straight No degree Urban Unmarried women,Mosaic middle,Hispanic,Evangelical,370.1922193,57.92780956,0.603661683,55.57418791,6.410396751,0.180019625,Mixed,0.079975181,0.100044445
Other White Straight No degree Rural Married men,Mosaic middle,White,Other,368.8562341,31.30064998,0.438375778,32.77710078,3.514347499,0.179369953,Mixed,0.120577683,0.05879227
Catholic Hispanic Straight No degree Suburban Unmarried men,Mosaic middle,Hispanic,Catholic,368.0906893,68.92126884,0.626780088,62.68021803,3.428896864,0.178997679,Mixed,0.066801544,0.112196135
Atheist White Straight No degree Rural Unmarried men,Secular,White,Atheist,367.0811151,77.04548068,0.680074433,65.59460212,2.519279626,0.178506736,Mixed,0.061415953,0.117090783
Nothing in particular White Straight College degree Urban Married men,Mosaic middle,White,Nothing in particular,364.63638,69.47193564,0.688686967,69.70187643,6.516642912,0.177317894,Mixed,0.053723995,0.123593899
Evangelical Black Straight No degree Rural Married men,Black people,Black,Evangelical,364.1766116,73.48459364,0.590279383,79.57209768,9.145138066,0.177094314,Democratic,0.036176654,0.140917661
Atheist White Straight No degree Urban Unmarried men,Secular,White,Atheist,361.6521375,73.5479193,0.723215572,70.3649451,3.479730612,0.175866696,Democratic,0.052118192,0.123748504
Evangelical Hispanic Straight No degree Suburban Unmarried men,Mosaic middle,Hispanic,Evangelical,354.5671025,42.85025241,0.560110822,51.21018832,4.171302452,0.172421336,Mixed,0.084124045,0.088297291
Atheist White Straight College degree Urban Unmarried men,Secular,White,Atheist,354.4107965,92.14428715,0.845695876,89.67245715,3.068863143,0.172345326,Democratic,0.017799037,0.154546289
Protestant White Straight College degree Rural Unmarried men,Mosaic middle,White,Protestant,350.6620918,32.77807382,0.469884731,35.23845905,6.169375569,0.17052238,Mixed,0.110432921,0.060089459
Agnostic White Straight No degree Rural Married women,Secular,White,Agnostic,350.1527959,65.12819013,0.658098341,63.19924497,7.748173383,0.170274716,Mixed,0.062662381,0.107612335
Agnostic White Straight College degree Rural Married men,Secular,White,Agnostic,347.6388083,66.42492892,0.681082993,68.12338432,3.741863836,0.169052197,Mixed,0.053888119,0.115164078
Catholic White Straight College degree Urban Unmarried men,Mosaic middle,White,Catholic,340.1291687,46.42510908,0.57467652,45.70133072,6.036624194,0.165400358,Mixed,0.089810193,0.075590165
Other White Straight College degree Rural Married women,Mosaic middle,White,Other,330.9169084,50.07019207,0.626993164,50.10737669,5.334224268,0.160920556,Mixed,0.080287487,0.080633069
Agnostic White Straight College degree Suburban Unmarried men,Secular,White,Agnostic,330.3965115,73.23261117,0.728467536,73.27064318,2.98575961,0.160667494,Democratic,0.042945388,0.117722106
